UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000003116;GRUPO JAREMAR;COMPAÑÍA AGRICOLA INDUSTRIAL CEIBEÑA S.A.  (CAICESA);COMPAÑÍA AGRICOLA INDUSTRIAL CEIBEÑA S.A.  (CAICESA);Not RSPO Certified;;13/01/2026;156.887.222;-87.065.111;15.6887222, -87.065111;HND;Honduras;Atlántida;San Francisco;1-Fully Verified;
PO1000003117;GRUPO JAREMAR;AGRICOLA TORNABE SA DE CV (AGROTOR);AGRICOLA TORNABE SA DE CV (AGROTOR);Not RSPO Certified;;13/01/2026;157.320.194;-8.758.903;15.7320194, -87.58903;HND;Honduras;Atlántida;Tela;1-Fully Verified;
PO1000003120;CITRA BORNEO INDAH (CBI);SAWIT SUMBERMAS SARANA;SELANGKUN;RSPO Certified;RSPO Certified, MB;13/01/2026;-24.172.222;111.554.722;-2.4172222, 111.554722;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Barat;1-Fully Verified;
PO1000003150;WILMAR GROUP;MENTAYA SAWIT MAS;MENTAYA SAWIT MAS;RSPO Certified;RSPO Certified, MB;13/01/2026;-216.469;11.256.942;-2.16469, 112.56942;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;2-High Confidence;
PO1000003177;PALMAR DEL ORIENTE / ALIANZA TEAM;EXTRACTORA DEL SUR DE CASANARE S.A.S.;EXTRACTORA DEL SUR DE CASANARE S.A.S.;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;4.493.442;-72.844.307;4.493442, -72.844307;COL;Colombia;Casanare;Villanueva;1-Fully Verified;
PO1000003196;FGV HOLDINGS BERHAD;PONTIAN UNITED PLANTATIONS BHD;PONTIAN FICO;Not RSPO Certified;;13/01/2026;5.423.837;118.145.415;5.423837, 118.145415;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000003210;PTPN III;PERKEBUNAN NUSANTARA IV;GUNUNG BAYU;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.144.075;9.937.348;3.144075, 99.37348;IDN;Indonesia;Sumatera Utara;Simalungun;1-Fully Verified;
PO1000003254;CARGILL;HINDOLI;MUKUT;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.441.389;104.419.444;-2.441389, 104.419444;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;1-Fully Verified;
PO1000003257;CITRA BORNEO INDAH (CBI);MITRA MENDAWAI SEJATI;SUAYAP;RSPO Certified;RSPO Certified, MB;13/01/2026;-22.652.528;111.723.078;-2.2652528, 111.723078;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Barat;1-Fully Verified;
PO1000003258;CITRA BORNEO INDAH (CBI);KALIMANTAN SAWIT ABADI;NATAI BARU;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;-260.415;11.166.735;-2.60415, 111.66735;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Barat;2-High Confidence;
PO1000003262;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;TERSANG;Not RSPO Certified;;13/01/2026;4.106.944;101.801.389;4.106944, 101.801389;MYS;Malaysia;Pahang;Lipis;1-Fully Verified;
PO1000003324;OLEOFLORES;GRUPO OLEOFLORES;OLEOFLORES;Not RSPO Certified;;13/01/2026;10.097.972;-73.235.556;10.097972, -73.235556;COL;Colombia;Cesar;La Paz;1-Fully Verified;
PO1000003333;GOODHOPE;AGRO BUKIT;SUNGAI BINTI;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;-256.225;112.768.067;-2.56225, 112.768067;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000003359;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;MAOKIL;RSPO Certified;RSPO Certified, MB;13/01/2026;229.123;102.995.553;2.29123, 102.995553;MYS;Malaysia;Johor;Muar;1-Fully Verified;
PO1000003414;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;AIR TAWAR;Not RSPO Certified;;13/01/2026;1.666.944;104.026.944;1.666944, 104.026944;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000003486;WILMAR GROUP;RIMBA HARAPAN SAKTI;RIMBA HARAPAN SAKTI;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.835.778;11.257.178;-2.835778, 112.57178;IDN;Indonesia;Kalimantan Tengah;Seruyan;1-Fully Verified;
PO1000003491;BUMITAMA GUNAJAYA AGRO (BGA);GUNAJAYA KARYA GEMILANG;KENDAWANGAN;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;-2.445.833;110.265.833;-2.445833, 110.265833;IDN;Indonesia;Kalimantan Barat;Ketapang;1-Fully Verified;
PO1000003496;KRETAM HOLDINGS BERHAD;SYARIKAT KRETAM MILL SDN BHD;KRETAM;RSPO Certified;RSPO Certified, IP;13/01/2026;5.657.167;117.837.528;5.657167, 117.837528;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000003497;PASIFIK AGRO SENTOSA;MITRA ANEKA REZEKI;BANYUASIN;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.722.018;104.358.599;-2.722018, 104.358599;IDN;Indonesia;Sumatera Selatan;Banyu Asin;1-Fully Verified;MITRA ANEKA REZEKI
PO1000003666;UNKNOWN;PITAK PALM OIL CO.;PITAK PALM OIL CO.;Not RSPO Certified;;13/01/2026;774.324;99.309.558;7.74324, 99.309558;THA;Thailand;Trang;Sikao;1-Fully Verified;
PO1000003712;ACE AGRICULTURAL SDN BHD;ACE OIL MILL SDN BHD;ACE OIL MILL;Not RSPO Certified;;13/01/2026;2.911.917;102.779.806;2.911917, 102.779806;MYS;Malaysia;Pahang;Rompin;1-Fully Verified;
PO1000003713;ACHI JAYA PLANTATIONS SDN BHD;ACHI JAYA PLANTATIONS SDN BHD;JOHOR LABIS;Not RSPO Certified;;13/01/2026;2.251.472;103.051.306;2.251472, 103.051306;MYS;Malaysia;Johor;Segamat;2-High Confidence;
PO1000003714;ALTO SDN BHD;ALAMBUMI PALM OIL MILL SDN BHD;ALAMBUMI;Not RSPO Certified;;13/01/2026;3.585.436;113.670.645;3.585436, 113.670645;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000003715;ARAH KAWASAN SDN BHD;ARAH KAWASAN SDN BHD;ARAH KAWASAN;Not RSPO Certified;;13/01/2026;5.278.791;100.686.093;5.278791, 100.686093;MYS;Malaysia;Kedah;Bandar Baharu;1-Fully Verified;
PO1000003716;AWAN TIMUR GROUP;AWAN TIMUR PALM OIL MILL RESOURCES (PERAK) SDN BHD;AWAN TIMUR;Not RSPO Certified;;13/01/2026;4.531.477;100.730.584;4.531477, 100.730584;MYS;Malaysia;Perak;Larut and Matang;1-Fully Verified;
PO1000003717;MALAYSIAN KUWAIT INVESTMENT CO. SDN BHD;BALUNG PALM OIL MILL SDN BHD;BALUNG;Not RSPO Certified;;13/01/2026;4.379.055;118.186.119;4.379055, 118.186119;MYS;Malaysia;Sabah;Tawau;2-High Confidence;
