company,mill_name,lat,lon,spearman_rho,spearman_p,precision,recall,iou,n_tiles
astraagro,SUBUR AGRO MAKMUR,-2.652773,114.970661,0.084,0.00061,0.009,0.185,0.009,1681
astraagro,TUNGGAL PERKASA PLANTATIONS,-0.305183,102.273183,-0.043,0.08066,0.111,0.233,0.081,1681
astraagro,KIMIA TIRTA UTAMA,0.674633,101.728917,0.059,0.01492,0.053,0.278,0.046,1681
astraagro,SAWIT ASAHAN INDAH,0.761311,100.519011,0.36,0.0,0.13,0.386,0.108,1681
astraagro,EKA DURA INDONESIA,0.88425,100.611683,0.229,0.0,0.198,0.566,0.172,1681
astraagro,WARU KALTIM PLANTATION,-1.329667,116.544033,0.117,0.0,0.093,0.324,0.078,1681
astraagro,SURYARAYA LESTARI 1,-1.69379,119.36168,0.409,0.0,0.095,0.448,0.085,1681
astraagro,SARI ADITYA LOKA 1,-1.957817,102.37265,0.162,0.0,0.19,0.23,0.116,1681
astraagro,ASTRA AGRO LESTARI 1,-1.99055,115.509267,0.251,0.0,0.108,0.347,0.09,1681
astraagro,KARYA TANAH SUBUR,4.349722,96.164444,0.128,0.0,0.1,0.289,0.08,1681
astraagro,SUMBER KHARISMA PERSADA,1.014086,118.048363,-0.103,2e-05,0.009,0.144,0.009,1681
astraagro,NIRMALA AGRO LESTARI,-2.091933,111.48705,0.371,0.0,0.16,0.475,0.136,1681
astraagro,SARI LEMBAH SUBUR 1,-0.051,102.252,-0.072,0.00324,0.08,0.148,0.055,1681
astraagro,SURYA INDAH NUSANTARA PAGI,-2.255,111.976,0.33,0.0,0.046,0.536,0.044,1681
astraagro,SUKSES TANI SUBUR,-1.381201,116.474659,0.096,8e-05,0.083,0.292,0.069,1681
astraagro,SARI LEMBAH SUBUR 2,-0.002078,102.196417,-0.056,0.022,0.064,0.132,0.045,1681
astraagro,LESTARI TANI TELADAN,-1.370466,119.486578,0.168,0.0,0.149,0.26,0.105,1681
astraagro,KARYANUSA EKA DAYA 1,0.991853,116.753692,0.285,0.0,0.054,0.468,0.051,1681
astraagro,SARI ADITYA LOKA 2,-1.65128,102.308184,0.133,0.0,0.124,0.199,0.083,1681
astraagro,PERKEBUNAN LEMBAH BHAKTI 2,2.56063,97.94867,0.17,0.0,0.063,0.24,0.052,1681
astraagro,LARAS ASTRA KARTIKA,-4.081368,104.540871,-0.005,0.85124,0.032,0.216,0.028,1681
astraagro,KARYANUSA EKA DAYA 2,0.912337,116.734274,0.225,0.0,0.069,0.478,0.064,1681
astraagro,CAKUNG PERMATA NUSA,-2.13795447737,115.48848,-0.12,0.0,0.042,0.232,0.037,1681
astraagro,SAWIT JAYA ABADI,-1.9595,120.83,0.041,0.0893,0.058,0.186,0.047,1681
astraagro,TRIBUANA MAS,-2.728,114.843,0.208,0.0,0.029,0.323,0.027,1681
genting,GENTING AYER ITEM,1.856092,103.209291,0.088,0.00029,0.07,0.215,0.056,1681
genting,GENTING INDAH,5.375197,116.934967,0.069,0.00446,0.03,0.22,0.027,1681
genting,GENTING JAMBONGAN,6.651844,117.446257,0.189,0.0,0.038,0.446,0.037,1681
genting,GENTING MEWAH,5.518017,117.7088,0.183,0.0,0.172,0.258,0.115,1681
genting,MULIA,-1.382733,110.479567,0.299,0.0,0.162,0.318,0.12,1681
genting,GENTING SABAPALM,5.965083,117.374111,0.129,0.0,0.086,0.319,0.072,1681
genting,GENTING TANJUNG,5.422626,118.273154,0.05,0.04233,0.206,0.158,0.098,1681
genting,DWIE WARNA KARYA,-0.84194,114.08,0.092,0.00017,0.034,0.239,0.031,1681
genting,GENTING TRUSHIDUP,5.563278,117.979556,0.215,0.0,0.191,0.319,0.136,1681
genting,KHARISMA INTI USAHA,-3.00375,114.935778,0.236,0.0,0.035,0.374,0.033,1681
genting,ASIATIC SABAPALM,6.049534,117.353554,0.168,0.0,0.053,0.381,0.049,1681
genting,SEPANJANG INTI SURYA UTAMA 2,0.807253,110.765619,0.069,0.00477,0.065,0.194,0.051,1681
genting,GLOBALINDO AGUNG LESTARI,-2.584944,114.594417,0.164,0.0,0.064,0.363,0.058,1681
genting,AGRO ABADI CEMERLANG ,-0.33938,110.1898,0.325,0.0,0.152,0.317,0.115,1681
genting,KAPUAS MAJU JAYA/GEMILANG OIL MILL,-1.010477,114.271419,0.011,0.66429,0.029,0.156,0.025,1681
sipef,HARGY MILL,-5.311111,151.01097,0.139,0.0,0.051,0.373,0.047,1681
sipef,BUKIT MARADJA,3.012294,99.235572,0.051,0.03541,0.105,0.335,0.087,1681
sipef,PERLABIAN,2.061383,100.081222,0.153,0.0,0.123,0.334,0.099,1681
sipef,NAVO MILL,-5.094109,151.224494,0.23,0.0,0.099,0.273,0.078,1681
sipef,MUKOMUKO POM,-2.601342,101.277978,0.183,0.0,0.069,0.294,0.059,1681
sipef,BUNGA TANJUNG,-2.716388,101.369444,0.392,0.0,0.079,0.403,0.071,1681
